,REG1V.HE,NESTE.HE,ORNBV.HE,KNEBV.HE,OLVAS.HE,HUH1V.HE,DETEC.HE,ORNAV.HE,CGCBV.HE,VAIAS.HE,ALBBV.HE,VALMT.HE,EQV1V.HE,PON1V.HE
2021-10-12 07:00:00,55.95000076293945,41.81999969482422,35.689998626708984,60.220001220703125,53.099998474121094,38.529998779296875,23.0,38.04999923706055,43.13999938964844,46.150001525878906,28.700000762939453,36.459999084472656,24.850000381469727,39.150001525878906
2021-10-12 08:00:00,55.79999923706055,41.720001220703125,35.630001068115234,60.41999816894531,53.29999923706055,38.560001373291016,23.0,38.04999923706055,43.5,45.95000076293945,28.799999237060547,36.599998474121094,24.950000762939453,39.20000076293945
2021-10-12 09:00:00,55.70000076293945,42.060001373291016,35.400001525878906,60.20000076293945,53.20000076293945,38.349998474121094,23.0,38.04999923706055,43.619998931884766,45.849998474121094,28.600000381469727,36.400001525878906,25.0,39.5
2021-10-12 10:00:00,55.45000076293945,42.0099983215332,35.5,60.119998931884766,52.900001525878906,38.220001220703125,23.200000762939453,38.04999923706055,43.47999954223633,45.70000076293945,28.5,36.290000915527344,25.100000381469727,39.54999923706055
2021-10-12 11:00:00,56.0,42.0,35.68000030517578,60.47999954223633,52.599998474121094,38.349998474121094,23.200000762939453,38.0,43.279998779296875,45.650001525878906,28.700000762939453,36.369998931884766,25.049999237060547,39.95000076293945
2021-10-12 13:00:00,55.45000076293945,41.97999954223633,35.70000076293945,60.459999084472656,52.400001525878906,38.34000015258789,23.399999618530273,37.95000076293945,43.279998779296875,45.900001525878906,28.5,36.400001525878906,25.0,39.599998474121094
2021-10-12 14:00:00,55.150001525878906,42.0,35.709999084472656,60.540000915527344,52.400001525878906,38.619998931884766,23.200000762939453,37.95000076293945,43.279998779296875,46.0,28.600000381469727,36.650001525878906,25.299999237060547,39.54999923706055
2021-10-12 15:00:00,54.54999923706055,41.68000030517578,34.970001220703125,59.939998626708984,52.599998474121094,38.65999984741211,23.0,37.900001525878906,43.2599983215332,46.45000076293945,28.799999237060547,36.33000183105469,25.200000762939453,39.70000076293945
2021-10-13 07:00:00,54.5,41.310001373291016,34.959999084472656,59.7599983215332,52.70000076293945,38.59000015258789,23.0,38.0,42.91999816894531,46.20000076293945,28.600000381469727,36.18000030517578,25.350000381469727,45.54999923706055
2021-10-13 08:00:00,54.150001525878906,41.33000183105469,34.970001220703125,59.619998931884766,51.599998474121094,38.61000061035156,23.299999237060547,38.0,42.779998779296875,46.29999923706055,28.700000762939453,36.220001220703125,25.75,44.599998474121094
2021-10-13 09:00:00,54.599998474121094,42.95000076293945,34.869998931884766,61.84000015258789,51.599998474121094,39.349998474121094,23.399999618530273,38.099998474121094,42.86000061035156,46.0,28.700000762939453,36.97999954223633,26.0,44.650001525878906
2021-10-13 10:00:00,54.75,43.47999954223633,34.70000076293945,62.560001373291016,51.5,39.2599983215332,23.5,38.29999923706055,43.540000915527344,45.849998474121094,28.600000381469727,37.33000183105469,25.899999618530273,44.599998474121094
2021-10-13 11:00:00,54.900001525878906,43.900001525878906,34.65999984741211,62.81999969482422,51.79999923706055,39.220001220703125,23.5,38.04999923706055,43.68000030517578,45.70000076293945,28.799999237060547,37.11000061035156,26.0,44.150001525878906
2021-10-13 12:00:00,54.25,44.130001068115234,34.689998626708984,62.720001220703125,51.5,39.33000183105469,23.799999237060547,38.04999923706055,43.599998474121094,45.54999923706055,28.700000762939453,37.09000015258789,25.899999618530273,43.599998474121094
2021-10-13 13:00:00,53.70000076293945,44.18000030517578,34.56999969482422,62.65999984741211,51.599998474121094,39.2400016784668,23.899999618530273,38.04999923706055,43.5,45.650001525878906,28.700000762939453,37.29999923706055,25.950000762939453,44.04999923706055
2021-10-13 14:00:00,53.45000076293945,44.290000915527344,34.52000045776367,62.939998626708984,52.0,39.2599983215332,23.799999237060547,38.25,43.5,46.25,28.5,37.349998474121094,25.700000762939453,44.45000076293945
2021-10-13 15:00:00,54.54999923706055,44.58000183105469,34.400001525878906,62.97999954223633,52.099998474121094,39.470001220703125,24.0,37.75,43.619998931884766,45.849998474121094,28.5,37.459999084472656,25.799999237060547,45.5
2021-10-14 07:00:00,55.0,44.209999084472656,34.52000045776367,62.84000015258789,52.0,39.540000915527344,23.5,37.79999923706055,43.7599983215332,46.25,28.5,37.43000030517578,25.799999237060547,45.400001525878906
2021-10-14 08:00:00,55.5,44.18000030517578,34.689998626708984,62.7599983215332,52.599998474121094,39.709999084472656,23.5,37.900001525878906,43.560001373291016,45.95000076293945,28.700000762939453,37.369998931884766,25.649999618530273,44.95000076293945
2021-10-14 09:00:00,55.5,44.65999984741211,35.08000183105469,62.47999954223633,52.900001525878906,39.75,23.0,37.900001525878906,43.5,45.900001525878906,28.700000762939453,37.79999923706055,25.850000381469727,44.400001525878906
2021-10-14 10:00:00,55.54999923706055,44.349998474121094,35.18000030517578,62.599998474121094,52.5,39.56999969482422,23.100000381469727,37.849998474121094,43.959999084472656,45.95000076293945,28.700000762939453,37.90999984741211,25.600000381469727,43.849998474121094
2021-10-14 11:00:00,55.599998474121094,44.25,35.349998474121094,62.380001068115234,52.5,39.52000045776367,23.399999618530273,37.79999923706055,43.619998931884766,46.04999923706055,28.700000762939453,37.59000015258789,25.700000762939453,44.25
2021-10-14 12:00:00,55.599998474121094,44.65999984741211,35.2599983215332,62.380001068115234,52.5,39.54999923706055,23.399999618530273,37.650001525878906,43.31999969482422,46.20000076293945,28.5,37.65999984741211,25.850000381469727,44.650001525878906
