date,Time Delta,REG1V.HE,NESTE.HE,ORNBV.HE,KNEBV.HE,OLVAS.HE,HUH1V.HE,DETEC.HE,ORNAV.HE,CGCBV.HE,VAIAS.HE,ALBBV.HE,VALMT.HE,EQV1V.HE,PON1V.HE
2021-11-22 14:00:00,1,49.20000076293945,45.47999954223633,35.83000183105469,59.36000061035156,50.5,36.04999923706055,27.5,36.20000076293945,46.560001373291016,50.59999847412109,27.899999618530277,34.209999084472656,26.0,43.34999847412109
2021-11-22 15:00:00,1,49.20000076293945,44.90999984741211,35.9900016784668,59.65999984741211,50.70000076293945,35.970001220703125,27.600000381469727,36.25,46.7599983215332,50.59999847412109,28.0,34.13999938964844,26.549999237060547,43.54999923706055
2021-11-22 16:00:00,16,49.15999984741211,45.560001373291016,35.939998626708984,59.63999938964844,50.59999847412109,36.29999923706055,27.799999237060547,36.150001525878906,46.5,50.900001525878906,27.899999618530277,34.43000030517578,26.700000762939453,43.95000076293945
2021-11-23 08:00:00,1,49.119998931884766,45.29999923706055,35.84000015258789,59.68000030517578,50.70000076293945,36.34999847412109,27.700000762939453,36.0,46.77999877929688,51.5,28.100000381469727,34.279998779296875,26.549999237060547,42.84999847412109
2021-11-23 09:00:00,1,49.900001525878906,45.2599983215332,35.779998779296875,59.720001220703125,50.70000076293945,36.540000915527344,27.5,36.20000076293945,46.63999938964844,51.0,28.200000762939453,34.279998779296875,26.799999237060547,42.900001525878906
2021-11-23 10:00:00,1,49.220001220703125,45.220001220703125,35.810001373291016,59.63999938964844,50.70000076293945,36.470001220703125,27.600000381469727,36.150001525878906,46.70000076293945,51.0,28.200000762939453,34.400001525878906,26.850000381469727,43.150001525878906
2021-11-23 11:00:00,1,49.18000030517578,45.27000045776367,35.95000076293945,59.84000015258789,50.70000076293945,36.66999816894531,27.5,36.29999923706055,46.86000061035156,51.59999847412109,28.0,34.5099983215332,27.0,42.95000076293945
2021-11-23 12:00:00,2,48.63999938964844,45.5,36.15999984741211,59.93999862670898,50.59999847412109,36.66999816894531,27.899999618530277,36.09999847412109,47.2400016784668,51.79999923706055,28.0,34.529998779296875,26.950000762939453,43.45000076293945
2021-11-23 14:00:00,1,49.0,43.70000076293945,36.0,59.720001220703125,50.70000076293945,36.369998931884766,27.200000762939453,35.900001525878906,47.52000045776367,51.5,28.100000381469727,34.2400016784668,26.950000762939453,43.5
2021-11-23 15:00:00,1,49.13999938964844,43.63999938964844,36.09999847412109,59.65999984741211,50.59999847412109,36.40999984741211,26.899999618530277,36.09999847412109,47.119998931884766,51.70000076293945,28.100000381469727,34.16999816894531,26.799999237060547,43.0
2021-11-23 16:00:00,16,49.040000915527344,43.47999954223633,36.11000061035156,59.900001525878906,50.59999847412109,36.52999877929688,27.899999618530277,36.0,47.13999938964844,51.70000076293945,28.100000381469727,34.02000045776367,26.549999237060547,43.59999847412109
2021-11-24 08:00:00,1,49.0,43.45000076293945,35.959999084472656,59.900001525878906,50.400001525878906,36.56999969482422,27.200000762939453,35.900001525878906,47.5,51.900001525878906,28.100000381469727,34.25,26.799999237060547,43.45000076293945
2021-11-24 09:00:00,1,49.36000061035156,43.97999954223633,35.81999969482422,60.119998931884766,50.5,36.959999084472656,26.299999237060547,35.849998474121094,47.400001525878906,51.5,28.0,34.31999969482422,26.649999618530277,42.84999847412109
2021-11-24 10:00:00,1,49.65999984741211,43.720001220703125,35.779998779296875,60.29999923706055,50.5,36.86000061035156,26.200000762939453,35.79999923706055,48.08000183105469,51.900001525878906,28.200000762939453,34.38999938964844,26.700000762939453,43.09999847412109
2021-11-24 11:00:00,1,49.400001525878906,43.61000061035156,35.91999816894531,60.20000076293945,50.70000076293945,37.02999877929688,26.899999618530277,35.849998474121094,48.09999847412109,52.20000076293945,28.200000762939453,34.529998779296875,27.100000381469727,43.04999923706055
2021-11-24 12:00:00,1,49.2599983215332,43.68000030517578,36.02000045776367,60.34000015258789,50.400001525878906,37.06999969482422,27.700000762939453,35.75,48.20000076293945,52.5,28.0,34.599998474121094,27.049999237060547,43.150001525878906
2021-11-24 13:00:00,1,48.959999084472656,43.91999816894531,36.04999923706055,60.540000915527344,50.59999847412109,36.90999984741211,26.399999618530277,35.79999923706055,48.2400016784668,52.5,28.100000381469727,34.63999938964844,27.0,42.59999847412109
2021-11-24 14:00:00,1,49.70000076293945,43.91999816894531,36.220001220703125,60.59999847412109,50.29999923706055,36.84000015258789,26.299999237060547,35.79999923706055,48.119998931884766,52.70000076293945,28.299999237060547,34.720001220703125,26.850000381469727,42.650001525878906
2021-11-24 15:00:00,1,49.119998931884766,43.93999862670898,36.16999816894531,60.52000045776367,50.400001525878906,36.959999084472656,26.100000381469727,36.09999847412109,48.20000076293945,53.20000076293945,28.100000381469727,34.790000915527344,26.899999618530277,43.04999923706055
2021-11-24 16:00:00,16,49.77999877929688,43.09999847412109,35.93000030517578,59.86000061035156,50.09999847412109,36.06999969482422,25.5,36.0,48.18000030517578,53.09999847412109,28.299999237060547,34.13999938964844,26.899999618530277,43.650001525878906
2021-11-25 08:00:00,1,49.81999969482422,42.88999938964844,35.869998931884766,59.34000015258789,50.400001525878906,35.9900016784668,26.100000381469727,36.09999847412109,45.119998931884766,52.5,28.5,34.22999954223633,27.049999237060547,43.95000076293945
